  x,y,z,rho,u,v,w,p
    -0.800000,     -0.239970,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,     -0.202090,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,     -0.167650,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,     -0.136340,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,     -0.107880,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,     -0.082010,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,     -0.058490,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,     -0.037110,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,     -0.017670,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.800000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.799850,      0.015710,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.799380,      0.031410,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.798610,      0.047100,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.797530,      0.062770,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.796150,      0.078410,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.794450,      0.094030,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.792460,      0.109610,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.790150,      0.125150,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.787540,      0.140640,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.784630,      0.156070,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.781410,      0.171450,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.777900,      0.186760,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.774080,      0.201990,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.769960,      0.217150,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.765550,      0.232230,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.760850,      0.247210,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.755840,      0.262100,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.750550,      0.276890,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.744970,      0.291580,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.739100,      0.306150,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.732950,      0.320600,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.726510,      0.334930,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.719800,      0.349130,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.712810,      0.363190,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.705540,      0.377120,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.698000,      0.390900,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.690190,      0.404530,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.682110,      0.418000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.673770,      0.431310,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.665180,      0.444460,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.656320,      0.457430,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.647210,      0.470230,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.637860,      0.482840,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.628250,      0.495280,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.618410,      0.507510,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.608320,      0.519560,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.598010,      0.531400,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
