  x,y,z,rho,u,v,w,p
     0.000000,      0.000000,      0.000000,      0.813611,    280.288422,      3.157273,      0.000000,  60777.378906
     0.169490,      0.000000,      0.000000,      0.822767,    282.766815,      6.009252,      0.000000,  61740.121094
     0.338980,      0.000000,      0.000000,      0.833076,    284.317017,      7.769789,      0.000000,  62820.664062
     0.508470,      0.000000,      0.000000,      0.818502,    276.798492,      2.068685,      0.000000,  61336.421875
     0.677970,      0.000000,      0.000000,      0.775445,    258.886993,     -9.294106,      0.000000,  56892.523438
     0.847460,      0.000000,      0.000000,      0.728775,    238.697540,    -18.694723,      0.000000,  52040.667969
     1.016950,      0.000000,      0.000000,      0.703541,    226.629608,    -19.888195,      0.000000,  49434.019531
     1.186440,      0.000000,      0.000000,      0.703628,    225.293854,    -13.918934,      0.000000,  49481.726562
     1.355930,      0.000000,      0.000000,      0.716541,    229.288818,     -6.410677,      0.000000,  50837.812500
     1.525420,      0.000000,      0.000000,      0.728832,    233.029434,     -1.272859,      0.000000,  52103.226562
     1.694920,      0.000000,      0.000000,      0.734613,    234.549393,      0.979039,      0.000000,  52691.527344
     1.864410,      0.000000,      0.000000,      0.735008,    234.538437,      1.735541,      0.000000,  52729.578125
     2.033900,      0.000000,      0.000000,      0.733441,    234.498184,      2.292873,      0.000000,  52568.464844
     2.203390,      0.000000,      0.000000,      0.730273,    234.858978,      2.272267,      0.000000,  52243.839844
     2.372880,      0.000000,      0.000000,      0.722951,    234.483551,      0.939112,      0.000000,  51493.562500
     2.542370,      0.000000,      0.000000,      0.715124,    234.427338,     -0.770223,      0.000000,  50666.011719
     2.711860,      0.000000,      0.000000,      0.717947,    239.702850,     -2.301037,      0.000000,  50728.171875
     2.881360,      0.000000,      0.000000,      0.758187,    258.659760,     -3.480146,      0.000000,  53675.191406
     3.050850,      0.000800,      0.000000,      0.852840,    285.931885,     -0.095283,      0.000000,  61117.222656
     3.220340,      0.014820,      0.000000,      0.971765,    307.896240,     13.085438,      0.000000,  71159.882812
     3.389830,      0.045420,      0.000000,      1.069109,    322.594513,     37.143139,      0.000000,  79920.859375
     3.559320,      0.090440,      0.000000,      1.117397,    332.119354,     69.168167,      0.000000,  84589.679688
     3.728810,      0.146700,      0.000000,      1.106528,    337.068634,    103.661438,      0.000000,  83914.523438
     3.898310,      0.210230,      0.000000,      1.039518,    335.884430,    133.863342,      0.000000,  78198.031250
     4.067800,      0.276570,      0.000000,      0.934349,    324.440033,    152.605499,      0.000000,  69506.953125
     4.237290,      0.341040,      0.000000,      0.819998,    296.178772,    152.908386,      0.000000,  60890.039062
     4.406780,      0.399090,      0.000000,      0.722887,    246.313812,    130.642593,      0.000000,  54414.109375
     4.576270,      0.446640,      0.000000,      0.654931,    180.978806,     90.042511,      0.000000,  49939.726562
     4.745760,      0.480330,      0.000000,      0.613678,    119.132141,     44.487236,      0.000000,  46451.601562
     4.915250,      0.497790,      0.000000,      0.591141,     79.402626,      7.295379,      0.000000,  43800.472656
     5.084750,      0.497790,      0.000000,      0.580886,     68.116020,    -16.857586,      0.000000,  42319.164062
     5.254240,      0.480330,      0.000000,      0.579619,     80.446922,    -30.928837,      0.000000,  41951.261719
     5.423730,      0.446640,      0.000000,      0.586882,    107.882111,    -39.841778,      0.000000,  42422.839844
     5.593220,      0.399090,      0.000000,      0.604876,    143.264267,    -47.083679,      0.000000,  43688.324219
     5.762710,      0.341040,      0.000000,      0.636583,    181.321655,    -54.610062,      0.000000,  45892.382812
     5.932200,      0.276570,      0.000000,      0.682154,    217.422272,    -63.523109,      0.000000,  49015.625000
     6.101700,      0.210230,      0.000000,      0.738428,    248.205627,    -73.580238,      0.000000,  52828.023438
     6.271190,      0.146700,      0.000000,      0.802459,    273.069092,    -82.900185,      0.000000,  57191.214844
     6.440680,      0.090440,      0.000000,      0.871297,    292.911011,    -88.878006,      0.000000,  62006.976562
     6.610170,      0.045420,      0.000000,      0.941611,    308.483612,    -87.595116,      0.000000,  67213.742188
     6.779660,      0.014820,      0.000000,      1.006075,    320.134155,    -75.090515,      0.000000,  72621.296875
     6.949150,      0.000800,      0.000000,      1.029726,    325.714630,    -53.813499,      0.000000,  75441.054688
     7.118640,      0.000000,      0.000000,      0.991961,    326.940704,    -30.063868,      0.000000,  72952.820312
     7.288140,      0.000000,      0.000000,      0.928396,    326.091034,     -7.546227,      0.000000,  67764.718750
     7.457630,      0.000000,      0.000000,      0.879601,    321.497864,     12.514536,      0.000000,  64075.390625
     7.627120,      0.000000,      0.000000,      0.854563,    312.836609,     27.365534,      0.000000,  62785.519531
     7.796610,      0.000000,      0.000000,      0.839483,    299.901489,     33.405037,      0.000000,  62287.613281
     7.966100,      0.000000,      0.000000,      0.821088,    283.673492,     30.610743,      0.000000,  61070.175781
     8.135590,      0.000000,      0.000000,      0.798005,    267.007935,     22.761372,      0.000000,  59016.882812
     8.305090,      0.000000,      0.000000,      0.775494,    253.006897,     14.039057,      0.000000,  56816.421875
     8.474580,      0.000000,      0.000000,      0.757341,    242.830200,      6.900385,      0.000000,  54988.742188
     8.644070,      0.000000,      0.000000,      0.746936,    236.442825,      3.316256,      0.000000,  53930.785156
     8.813560,      0.000000,      0.000000,      0.746881,    234.849442,      3.318538,      0.000000,  53916.746094
     8.983050,      0.000000,      0.000000,      0.743531,    234.711136,     -0.220551,      0.000000,  53581.234375
     9.152540,      0.000000,      0.000000,      0.720306,    225.570480,     -5.826299,      0.000000,  51275.289062
     9.322030,      0.000000,      0.000000,      0.725225,    223.456192,      7.060839,      0.000000,  51985.660156
     9.491530,      0.000000,      0.000000,      0.738570,    248.659348,     11.576838,      0.000000,  54355.839844
     9.661020,      0.000000,      0.000000,      0.603358,    218.907745,    -65.457512,      0.000000,  45151.304688
     9.830510,      0.000000,      0.000000,      0.352921,   -211.119308,    197.173981,      0.000000,  17473.472656
    10.000000,      0.000000,      0.000000,      0.219090,  -1063.270752,   1172.767578,      0.000000, *************
     0.000000,      0.157895,      0.000000,      0.819956,    280.175598,      3.359994,      0.000000,  61438.789062
     0.169490,      0.157895,      0.000000,      0.829369,    282.863129,      5.939146,      0.000000,  62424.988281
     0.338980,      0.157895,      0.000000,      0.837133,    284.408966,      7.153063,      0.000000,  63236.308594
     0.508470,      0.157895,      0.000000,      0.816477,    276.251495,      1.142339,      0.000000,  61120.421875
     0.677970,      0.157895,      0.000000,      0.772420,    258.618866,     -9.052330,      0.000000,  56577.773438
     0.847460,      0.157895,      0.000000,      0.732929,    240.712509,    -15.750144,      0.000000,  52486.398438
