  x,y,z,rho,u,v,w,p
   -10.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -9.271000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -8.558020,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -7.861640,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -7.182450,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -6.521150,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -5.878490,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -5.255310,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -4.652590,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -4.071410,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -3.513050,      0.000611,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -2.979000,      0.001007,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -2.471050,      0.000847,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.991390,      0.000012,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.542780,     -0.000421,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.128830,     -0.003402,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.754596,      0.002129,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.427747,     -0.026654,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.162086,     -0.098881,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.000000,     -0.180000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.168811,     -0.303569,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.395975,     -0.500385,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.652019,     -0.746876,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.928827,     -1.082640,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.222180,     -1.436170,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.529420,     -1.797220,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.848720,     -2.172320,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.178720,     -2.559860,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.518370,     -2.958590,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.866820,     -3.367560,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.223400,     -3.785960,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.587520,     -4.213140,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.958690,     -4.648540,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.336490,     -5.091700,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.720560,     -5.542200,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     5.110560,     -5.999900,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     5.506220,     -6.464820,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     5.907260,     -6.936190,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     6.313470,     -7.413720,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     6.724620,     -7.897160,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     7.140530,     -8.386280,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     7.561030,     -8.880850,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     7.985940,     -9.380670,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     8.415130,     -9.885550,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     8.848450,    -10.395300,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     9.285780,    -10.909800,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     9.726990,    -11.428800,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    10.172000,    -11.952100,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    10.620600,    -12.479400,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    11.072900,    -13.010900,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    11.528600,    -13.546400,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    11.987700,    -14.085900,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    12.450100,    -14.629200,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    12.915800,    -15.176300,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    13.384600,    -15.727100,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    13.856500,    -16.281601,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    14.331400,    -16.839500,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    14.809300,    -17.400999,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    15.290100,    -17.965900,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    15.773700,    -18.534201,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    16.260201,    -19.105700,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    16.749300,    -19.680500,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    17.241199,    -20.258400,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    17.735701,    -20.839399,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    18.232800,    -21.423500,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    18.732401,    -22.010599,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    19.234501,    -22.600599,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    19.739100,    -23.193501,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    20.246099,    -23.789200,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    20.755501,    -24.387800,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    21.267300,    -24.989100,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    21.781401,    -25.593100,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    22.297701,    -26.199800,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    22.816299,    -26.809200,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    23.337099,    -27.421101,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    23.860100,    -28.035601,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    24.385201,    -28.652700,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    24.912500,    -29.272200,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    25.441900,    -29.894199,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    25.973301,    -30.518600,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    26.506800,    -31.145399,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    27.042200,    -31.774599,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    27.579700,    -32.406200,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    28.119200,    -33.040001,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    28.660500,    -33.676102,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    29.203800,    -34.314499,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
