  x,y,z,rho,u,v,w,p
     0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.169490,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.338980,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.508470,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.677970,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.847460,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.016950,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.186440,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.355930,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.525420,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.694920,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.864410,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.033900,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.203390,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.372880,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.542370,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.711860,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.881360,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.050850,      0.000800,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.220340,      0.014820,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.389830,      0.045420,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.559320,      0.090440,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.728810,      0.146700,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.898310,      0.210230,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.067800,      0.276570,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.237290,      0.341040,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.406780,      0.399090,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.576270,      0.446640,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.745760,      0.480330,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.915250,      0.497790,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     5.084750,      0.497790,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
