  x,y,z,rho,u,v,w,p
    -2.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.894737,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.789474,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.684211,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.578947,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.473684,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.368421,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.263158,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.157895,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -1.052632,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.947368,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.842105,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.736842,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.631579,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.526316,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.421053,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.315789,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.210526,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
    -0.105263,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.086939,      0.008719,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.173878,      0.017437,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.260817,      0.026156,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.347756,      0.034874,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.434694,      0.043593,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.521633,      0.052311,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.608572,      0.061030,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.695511,      0.069749,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.782450,      0.078467,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.869389,      0.087186,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     0.956328,      0.095904,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.043267,      0.104623,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.130205,      0.113341,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.217144,      0.122060,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.304083,      0.130778,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.391022,      0.139497,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.477961,      0.148216,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.564900,      0.156934,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.651839,      0.165653,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.738778,      0.174371,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.825716,      0.183090,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.912655,      0.191808,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     1.999594,      0.200527,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.086533,      0.209246,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.173472,      0.217964,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.260411,      0.226683,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.347350,      0.235401,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.434289,      0.244120,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.521227,      0.252838,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.608166,      0.261557,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.695105,      0.270276,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.782044,      0.278994,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.868983,      0.287713,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     2.955922,      0.296431,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.042861,      0.305150,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.129800,      0.313868,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.216738,      0.322587,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.303677,      0.331306,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.390616,      0.340024,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.477555,      0.348743,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.564494,      0.357461,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.651433,      0.366180,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.738372,      0.374898,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.825311,      0.383617,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.912250,      0.392335,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     3.999188,      0.401054,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.086127,      0.409773,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.173066,      0.418491,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.260005,      0.427210,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.346944,      0.435928,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.433883,      0.435930,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.520822,      0.435930,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.607760,      0.435930,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
     4.694699,      0.435930,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000,      0.000000
